left,right,up,down,Move
?,-,-,?,down
?,-,-,L,left
?,-,-,B,left
?,-,-,T,left
L,-,-,?,down
L,-,-,L,left
L,-,-,L,down
L,-,-,B,left
L,-,-,T,down
B,-,-,?,down
B,-,-,L,down
B,-,-,B,left
B,-,-,B,down
B,-,-,T,down
T,-,-,?,down
T,-,-,L,left
T,-,-,B,left
T,-,-,T,left
T,-,-,T,down
-,?,?,-,right
-,?,?,-,up
-,?,L,-,right
-,?,B,-,right
-,?,T,-,right
-,L,?,-,up
-,L,L,-,right
-,L,L,-,up
-,L,B,-,right
-,L,T,-,up
-,B,?,-,up
-,B,L,-,up
-,B,B,-,right
-,B,B,-,up
-,B,T,-,up
-,T,?,-,up
-,T,L,-,right
-,T,B,-,right
-,T,T,-,right
-,T,T,-,up
?,-,?,-,left
?,-,?,-,up
?,-,L,-,left
?,-,B,-,left
?,-,T,-,left
L,-,?,-,up
L,-,L,-,left
L,-,L,-,up
L,-,B,-,left
L,-,T,-,up
B,-,?,-,up
B,-,L,-,up
B,-,B,-,left
B,-,B,-,up
B,-,T,-,up
T,-,?,-,up
T,-,L,-,left
T,-,B,-,left
T,-,T,-,left
T,-,T,-,up
?,?,?,-,left
?,?,?,-,right
?,?,?,-,up
?,?,L,-,left
?,?,L,-,right
?,?,B,-,left
?,?,B,-,right
?,?,T,-,left
?,?,T,-,right
?,L,?,-,left
?,L,?,-,up
?,L,L,-,left
?,L,B,-,left
?,L,T,-,left
?,B,?,-,left
?,B,?,-,up
?,B,L,-,left
?,B,B,-,left
?,B,T,-,left
?,T,?,-,left
?,T,?,-,up
?,T,L,-,left
?,T,B,-,left
?,T,T,-,left
L,?,?,-,right
L,?,?,-,up
L,?,L,-,right
L,?,B,-,right
L,?,T,-,right
L,L,?,-,up
L,L,L,-,left
L,L,L,-,right
L,L,L,-,up
L,L,B,-,left
L,L,B,-,right
L,L,T,-,up
L,B,?,-,up
L,B,L,-,left
L,B,L,-,up
L,B,B,-,left
L,B,T,-,up
L,T,?,-,up
L,T,L,-,right
L,T,B,-,right
L,T,T,-,right
L,T,T,-,up
B,?,?,-,right
B,?,?,-,up
B,?,L,-,right
B,?,B,-,right
B,?,T,-,right
B,L,?,-,up
B,L,L,-,right
B,L,L,-,up
B,L,B,-,right
B,L,T,-,up
B,B,?,-,up
B,B,L,-,up
B,B,B,-,left
B,B,B,-,right
B,B,B,-,up
B,B,T,-,up
B,T,?,-,up
B,T,L,-,right
B,T,B,-,right
B,T,T,-,right
B,T,T,-,up
T,?,?,-,right
T,?,?,-,up
T,?,L,-,right
T,?,B,-,right
T,?,T,-,right
T,L,?,-,up
T,L,L,-,left
T,L,B,-,left
T,L,T,-,left
T,L,T,-,up
T,B,?,-,up
T,B,L,-,left
T,B,B,-,left
T,B,T,-,left
T,B,T,-,up
T,T,?,-,up
T,T,L,-,left
T,T,L,-,right
T,T,B,-,left
T,T,B,-,right
T,T,T,-,left
T,T,T,-,right
T,T,T,-,up
-,?,?,?,right
-,?,?,?,up
-,?,?,?,down
-,?,?,L,right
-,?,?,L,up
-,?,?,B,right
-,?,?,B,up
-,?,?,T,right
-,?,?,T,up
-,?,L,?,right
-,?,L,?,down
-,?,L,L,right
-,?,L,B,right
-,?,L,T,right
-,?,B,?,right
-,?,B,?,down
-,?,B,L,right
-,?,B,B,right
-,?,B,T,right
-,?,T,?,right
-,?,T,?,down
-,?,T,L,right
-,?,T,B,right
-,?,T,T,right
-,L,?,?,up
-,L,?,?,down
-,L,?,L,up
-,L,?,B,up
-,L,?,T,up
-,L,L,?,down
-,L,L,L,right
-,L,L,L,up
-,L,L,L,down
-,L,L,B,right
-,L,L,B,up
-,L,L,T,down
-,L,B,?,down
-,L,B,L,right
-,L,B,L,down
-,L,B,B,right
-,L,B,T,down
-,L,T,?,down
-,L,T,L,up
-,L,T,B,up
-,L,T,T,up
-,L,T,T,down
-,B,?,?,up
-,B,?,?,down
-,B,?,L,up
-,B,?,B,up
-,B,?,T,up
-,B,L,?,down
-,B,L,L,up
-,B,L,L,down
-,B,L,B,up
-,B,L,T,down
-,B,B,?,down
-,B,B,L,down
-,B,B,B,right
-,B,B,B,up
-,B,B,B,down
-,B,B,T,down
-,B,T,?,down
-,B,T,L,up
-,B,T,B,up
-,B,T,T,up
-,B,T,T,down
-,T,?,?,up
-,T,?,?,down
-,T,?,L,up
-,T,?,B,up
-,T,?,T,up
-,T,L,?,down
-,T,L,L,right
-,T,L,B,right
-,T,L,T,right
-,T,L,T,down
-,T,B,?,down
-,T,B,L,right
-,T,B,B,right
-,T,B,T,right
-,T,B,T,down
-,T,T,?,down
-,T,T,L,right
-,T,T,L,up
-,T,T,B,right
-,T,T,B,up
-,T,T,T,right
-,T,T,T,up
-,T,T,T,down
?,-,?,?,left
?,-,?,?,up
?,-,?,?,down
?,-,?,L,left
?,-,?,L,up
?,-,?,B,left
?,-,?,B,up
?,-,?,T,left
?,-,?,T,up
?,-,L,?,left
?,-,L,?,down
?,-,L,L,left
?,-,L,B,left
?,-,L,T,left
?,-,B,?,left
?,-,B,?,down
?,-,B,L,left
?,-,B,B,left
?,-,B,T,down
?,-,T,?,left
?,-,T,?,down
?,-,T,L,left
?,-,T,B,left
?,-,T,T,left
?,-,T,T,left
L,-,?,?,up
L,-,?,?,down
L,-,?,L,up
L,-,?,B,up
L,-,?,T,up
L,-,L,?,down
L,-,L,L,left
L,-,L,L,up
L,-,L,L,down
L,-,L,B,left
L,-,L,B,up
L,-,L,T,down
L,-,B,?,down
L,-,B,L,left
L,-,B,L,up
L,-,B,B,left
L,-,B,T,down
L,-,T,?,down
L,-,T,L,up
L,-,T,B,up
L,-,T,T,up
L,-,T,T,down
B,-,?,?,up
B,-,?,?,down
B,-,?,L,up
B,-,?,B,up
B,-,?,T,up
B,-,L,?,down
B,-,L,L,up
B,-,L,L,down
B,-,L,B,up
B,-,L,T,down
B,-,B,?,down
B,-,B,L,down
B,-,B,B,left
B,-,B,B,up
B,-,B,B,down
B,-,B,T,down
B,-,T,?,down
B,-,T,L,up
B,-,T,B,up
B,-,T,T,up
B,-,T,T,down
T,-,?,?,up
T,-,?,?,down
T,-,?,L,up
T,-,?,B,up
T,-,?,T,up
T,-,L,?,down
T,-,L,L,left
T,-,L,B,left
T,-,L,T,left
T,-,L,T,down
T,-,B,?,down
T,-,B,L,left
T,-,B,B,left
T,-,B,T,left
T,-,B,T,down
T,-,T,?,down
T,-,T,L,left
T,-,T,L,up
T,-,T,B,left
T,-,T,B,up
T,-,T,T,left
T,-,T,T,up
T,-,T,T,down
?,?,?,?,left
?,?,?,?,right
?,?,?,?,up
?,?,?,?,down
?,?,?,L,left
?,?,?,L,right
?,?,?,L,up
?,?,?,B,left
?,?,?,B,right
?,?,?,B,up
?,?,?,T,left
?,?,?,T,right
?,?,?,T,up
?,?,L,?,left
?,?,L,?,right
?,?,L,?,down
?,?,L,L,left
?,?,L,L,right
?,?,L,B,left
?,?,L,B,right
?,?,L,T,left
?,?,L,T,right
?,?,B,?,left
?,?,B,?,right
?,?,B,?,down
?,?,B,L,left
?,?,B,L,right
?,?,B,B,left
?,?,B,B,right
?,?,B,T,left
?,?,B,T,right
?,?,T,?,left
?,?,T,?,right
?,?,T,?,down
?,?,T,L,left
?,?,T,L,right
?,?,T,B,left
?,?,T,B,right
?,?,T,T,left
?,?,T,T,right
?,L,?,?,left
?,L,?,?,up
?,L,?,?,down
?,L,?,L,left
?,L,?,L,up
?,L,?,B,left
?,L,?,B,up
?,L,?,T,left
?,L,?,T,up
?,L,L,?,left
?,L,L,?,down
?,L,L,L,left
?,L,L,B,left
?,L,L,T,left
?,L,B,?,left
?,L,B,?,down
?,L,B,L,left
?,L,B,B,left
?,L,B,T,left
?,L,T,?,left
?,L,T,?,down
?,L,T,L,left
?,L,T,B,up
?,L,T,T,left
?,B,?,?,left
?,B,?,?,up
?,B,?,?,down
?,B,?,L,left
?,B,?,L,up
?,B,?,B,left
?,B,?,B,up
?,B,?,T,left
?,B,?,T,up
?,B,L,?,left
?,B,L,?,down
?,B,L,L,left
?,B,L,B,left
?,B,L,T,left
?,B,B,?,left
?,B,B,?,down
?,B,B,L,left
?,B,B,B,left
?,B,B,T,left
?,B,T,?,left
?,B,T,?,down
?,B,T,L,left
?,B,T,B,left
?,B,T,T,left
?,T,?,?,left
?,T,?,?,up
?,T,?,?,down
?,T,?,L,left
?,T,?,L,up
?,T,?,B,left
?,T,?,B,up
?,T,?,T,left
?,T,?,T,up
?,T,L,?,left
?,T,L,?,down
?,T,L,L,left
?,T,L,B,left
?,T,L,T,left
?,T,B,?,left
?,T,B,?,down
?,T,B,L,left
?,T,B,B,left
?,T,B,T,left
?,T,T,?,left
?,T,T,?,down
?,T,T,L,left
?,T,T,B,left
?,T,T,T,left
L,?,?,?,right
L,?,?,?,up
L,?,?,?,down
L,?,?,L,right
L,?,?,L,up
L,?,?,B,right
L,?,?,B,up
L,?,?,T,right
L,?,?,T,up
L,?,L,?,right
L,?,L,?,down
L,?,L,L,right
L,?,L,B,right
L,?,L,T,right
L,?,B,?,right
L,?,B,?,down
L,?,B,L,right
L,?,B,B,right
L,?,B,T,right
L,?,T,?,right
L,?,T,?,down
L,?,T,L,right
L,?,T,B,right
L,?,T,T,right
L,L,?,?,up
L,L,?,?,down
L,L,?,L,up
L,L,?,B,up
L,L,?,T,up
L,L,L,?,down
L,L,L,L,left
L,L,L,L,right
L,L,L,L,up
L,L,L,L,down
L,L,L,B,left
L,L,L,B,right
L,L,L,B,up
L,L,L,T,down
L,L,B,?,down
L,L,B,L,left
L,L,B,L,right
L,L,B,L,down
L,L,B,T,down
L,L,T,?,down
L,L,T,L,up
L,L,T,B,up
L,L,T,T,up
L,L,T,T,down
L,B,?,?,up
L,B,?,?,down
L,B,?,L,up
L,B,?,B,up
L,B,?,T,up
L,B,L,?,down
L,B,L,L,left
L,B,L,L,up
L,B,L,L,down
L,B,L,B,left
L,B,L,B,up
L,B,L,T,down
L,B,B,?,down
L,B,B,L,left
L,B,B,L,down
L,B,B,B,left
L,B,B,T,down
L,B,T,?,up
L,B,T,L,up
L,B,T,B,up
L,B,T,T,up
L,B,T,T,down
L,T,?,?,right
L,T,?,L,right
L,T,?,B,right
L,T,?,T,up
L,T,L,?,down
L,T,L,L,right
L,T,L,B,right
L,T,L,T,right
L,T,L,T,down
L,T,B,?,down
L,T,B,L,right
L,T,B,B,right
L,T,B,T,right
L,T,B,T,down
L,T,T,?,down
L,T,T,L,right
L,T,T,L,up
L,T,T,B,right
L,T,T,B,up
L,T,T,T,right
L,T,T,T,up
L,T,T,T,down
B,?,?,?,right
B,?,?,?,up
B,?,?,?,down
B,?,?,L,right
B,?,?,L,up
B,?,?,B,right
B,?,?,B,up
B,?,?,T,right
B,?,?,T,up
B,?,L,?,right
B,?,L,?,down
B,?,L,L,right
B,?,L,B,right
B,?,L,T,right
B,?,B,?,right
B,?,B,?,down
B,?,B,L,right
B,?,B,B,right
B,?,B,T,right
B,?,T,?,right
B,?,T,?,down
B,?,T,L,right
B,?,T,B,right
B,?,T,T,right
B,L,?,?,up
B,L,?,?,down
B,L,?,L,up
B,L,?,B,up
B,L,?,T,up
B,L,L,?,down
B,L,L,L,right
B,L,L,L,up
B,L,L,L,down
B,L,L,B,right
B,L,L,B,up
B,L,L,T,down
B,L,B,?,down
B,L,B,L,right
B,L,B,L,down
B,L,B,B,right
B,L,B,T,down
B,L,T,?,down
B,L,T,L,up
B,L,T,B,up
B,L,T,T,up
B,L,T,T,down
B,B,?,?,up
B,B,?,?,down
B,B,?,L,up
B,B,?,B,up
B,B,?,T,up
B,B,L,?,down
B,B,L,L,up
B,B,L,L,down
B,B,L,B,up
B,B,L,T,down
B,B,B,?,down
B,B,B,L,down
B,B,B,B,left
B,B,B,B,right
B,B,B,B,up
B,B,B,B,down
B,B,B,T,down
B,B,T,?,down
B,B,T,L,up
B,B,T,B,up
B,B,T,T,up
B,B,T,T,down
B,T,?,?,up
B,T,?,?,down
B,T,?,L,up
B,T,?,B,up
B,T,?,T,up
B,T,L,?,down
B,T,L,L,right
B,T,L,B,right
B,T,L,T,right
B,T,L,T,down
B,T,B,?,down
B,T,B,L,right
B,T,B,B,right
B,T,B,T,right
B,T,B,T,down
B,T,T,?,down
B,T,T,L,right
B,T,T,L,up
B,T,T,B,right
B,T,T,B,up
B,T,T,T,right
B,T,T,T,up
B,T,T,T,down
T,?,?,?,right
T,?,?,?,up
T,?,?,?,down
T,?,?,L,right
T,?,?,L,up
T,?,?,B,right
T,?,?,B,up
T,?,?,T,right
T,?,?,T,up
T,?,L,?,right
T,?,L,?,down
T,?,L,L,right
T,?,L,B,right
T,?,L,T,right
T,?,B,?,left
T,?,B,?,down
T,?,B,L,right
T,?,B,B,right
T,?,B,T,right
T,?,T,?,right
T,?,T,?,down
T,?,T,B,right
T,?,T,B,right
T,?,T,T,right
T,L,?,?,up
T,L,?,?,down
T,L,?,L,up
T,L,?,B,up
T,L,?,T,up
T,L,L,?,down
T,L,L,L,left
T,L,L,B,left
T,L,L,T,left
T,L,L,T,down
T,L,B,?,down
T,L,B,L,left
T,L,B,B,left
T,L,B,T,left
T,L,B,T,down
T,L,T,?,down
T,L,T,L,left
T,L,T,L,up
T,L,T,B,left
T,L,T,B,up
T,L,T,T,left
T,L,T,T,up
T,L,T,T,down
T,B,?,?,up
T,B,?,?,down
T,B,?,L,up
T,B,?,B,up
T,B,?,T,up
T,B,L,?,down
T,B,L,L,left
T,B,L,B,left
T,B,L,T,left
T,B,L,T,down
T,B,B,?,down
T,B,B,L,left
T,B,B,B,left
T,B,B,T,left
T,B,B,T,down
T,B,T,?,down
T,B,T,L,left
T,B,T,L,up
T,B,T,B,left
T,B,T,B,up
T,B,T,T,left
T,B,T,T,up
T,B,T,T,down
T,T,?,?,up
T,T,?,?,down
T,T,?,L,up
T,T,?,B,up
T,T,?,T,up
T,T,L,?,down
T,T,L,L,left
T,T,L,L,right
T,T,L,B,left
T,T,L,B,right
T,T,L,T,left
T,T,L,T,right
T,T,L,T,down
T,T,B,?,down
T,T,B,L,left
T,T,B,L,right
T,T,B,B,left
T,T,B,B,right
T,T,B,T,left
T,T,B,T,right
T,T,B,T,down
T,T,T,?,down
T,T,T,L,left
T,T,T,L,right
T,T,T,L,up
T,T,T,B,left
T,T,T,B,right
T,T,T,B,up
T,T,T,T,left
T,T,T,T,right
T,T,T,T,up
T,T,T,T,down
